code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
1,1,75731,1,2,3,7,1,1,135.0,1,1
0,3,82908,0,8,0,5,2,1,75.0,0,1
0,2,88366,1,3,1,1,2,3,80.0,1,1
0,0,82205,0,6,2,0,1,0,270.0,0,0
1,2,96942,0,1,0,0,0,4,160.0,0,1
0,0,17494,0,3,1,3,2,3,135.0,1,0
1,0,80060,0,7,2,5,1,3,420.0,1,1
1,3,51078,0,1,4,5,1,4,130.0,1,1
1,0,82945,1,9,2,6,2,0,390.0,0,0
0,3,69540,1,8,2,10,1,1,130.0,0,1
1,1,48518,1,7,0,1,0,4,105.0,0,0
1,1,34692,0,5,4,1,1,2,330.0,0,0
0,1,24425,1,10,0,9,0,1,195.0,0,1
1,0,75862,0,6,3,1,0,3,120.0,1,1
0,3,36044,0,1,0,3,0,0,220.0,0,1
0,3,33739,0,6,3,0,2,4,585.0,0,0
1,2,90452,0,7,1,7,0,0,150.0,0,0
0,3,99835,0,6,4,6,2,1,150.0,0,1
0,0,99855,1,0,3,1,2,3,420.0,1,1
1,2,11538,1,3,2,7,0,4,195.0,0,1
1,2,81507,0,0,1,4,1,3,360.0,0,0
1,1,16088,1,4,4,6,1,0,300.0,0,1
0,2,30582,0,1,1,7,2,3,345.0,0,1
0,1,20522,0,1,0,6,2,3,120.0,0,0
0,0,17662,1,1,1,3,0,2,80.0,1,0
0,1,53650,1,0,0,5,2,4,655.0,0,1
1,3,83168,1,8,4,1,0,4,300.0,1,1
1,0,77380,0,12,0,8,2,3,70.0,1,1
0,3,11650,0,6,1,1,0,2,330.0,1,0
1,3,40426,0,0,2,7,1,1,135.0,1,0
1,3,96078,0,10,2,8,0,4,420.0,1,1
1,1,58967,1,7,4,10,1,0,330.0,0,0
0,0,51922,1,2,4,10,2,2,655.0,0,0
1,3,62979,1,11,3,7,2,4,105.0,1,1
1,3,41872,0,10,4,9,1,4,160.0,1,1
0,0,66386,1,9,2,3,1,0,345.0,0,0
1,1,62251,0,1,2,4,2,3,100.0,0,1
0,3,40986,1,11,4,8,1,4,345.0,0,0
1,2,11876,0,0,0,8,0,4,170.0,0,1
0,0,25993,1,10,3,6,0,2,90.0,0,0
0,1,41331,1,1,1,5,2,4,100.0,0,1
1,2,79173,1,10,4,5,2,1,135.0,1,0
0,1,41922,0,6,1,4,1,0,655.0,0,2
0,0,79663,1,6,2,0,1,4,240.0,0,1
1,3,74028,1,7,1,8,1,2,360.0,0,1
0,2,57671,1,8,2,2,2,4,165.0,1,2
0,3,96529,1,9,4,4,0,1,270.0,0,2
0,3,29811,0,6,2,8,2,1,170.0,0,1
0,0,21719,0,0,1,4,2,2,270.0,1,0
1,3,43969,0,5,0,2,2,1,135.0,1,1
1,3,43053,1,9,3,7,1,4,195.0,1,0
0,1,68946,1,1,0,10,1,0,325.0,1,0
1,3,41727,0,8,0,7,2,0,160.0,1,1
1,3,15644,1,6,2,1,0,0,165.0,1,1
1,3,53364,1,11,4,1,2,2,180.0,1,1
1,3,80613,1,10,2,0,2,1,80.0,0,0
0,3,59726,1,7,4,8,2,3,150.0,1,1
0,2,72695,0,5,1,1,1,0,330.0,1,1
0,3,30096,0,6,3,6,1,0,170.0,0,1
0,2,97573,0,3,4,10,1,1,220.0,0,0
1,0,64303,0,0,0,6,1,3,60.0,0,0
0,0,87251,0,8,1,8,0,0,160.0,1,0
1,0,51090,1,11,1,10,0,0,585.0,1,1
0,3,47016,0,0,4,7,0,0,160.0,1,0
0,3,21169,1,5,2,5,2,4,330.0,0,1
0,0,64731,0,5,2,1,2,1,210.0,0,1
1,1,67968,1,4,1,10,2,2,390.0,0,1
1,1,48483,1,10,1,0,1,2,585.0,1,0
1,0,91086,1,8,1,2,0,2,345.0,1,1
1,2,70341,0,0,0,9,1,3,170.0,0,1
1,0,65710,0,11,0,8,2,3,220.0,1,0
1,2,51075,0,0,4,8,1,2,655.0,1,0
1,1,41118,1,7,4,1,0,1,325.0,1,1
1,2,32989,0,5,4,1,0,3,120.0,1,1
0,0,17190,0,11,3,10,2,3,80.0,0,1
1,1,86441,0,4,2,3,1,1,170.0,1,0
0,3,65593,0,12,2,1,2,1,105.0,1,1
1,0,33455,1,9,4,3,0,4,270.0,0,2
1,0,78992,1,9,4,3,0,3,100.0,1,1
0,2,49677,1,8,4,1,2,0,120.0,0,1
1,0,95962,1,4,3,5,1,0,165.0,1,1
0,0,55370,0,9,2,10,2,4,585.0,0,1
0,0,42387,0,3,4,8,1,2,330.0,0,2
0,3,71406,0,4,1,10,1,1,345.0,1,1
0,1,12603,1,11,3,9,0,4,300.0,1,1
0,1,33781,0,10,3,6,2,2,240.0,1,0
1,2,72804,0,12,0,1,2,3,90.0,0,2
0,3,52706,1,4,0,0,2,2,160.0,1,1
1,3,35965,0,2,2,6,0,1,60.0,0,0
1,0,24711,1,3,1,0,0,3,220.0,0,0
0,0,88237,1,0,4,1,2,4,105.0,0,0
1,0,48503,0,9,0,2,0,4,360.0,0,1
1,1,44546,0,0,2,10,0,3,390.0,0,2
0,2,89815,1,11,1,4,2,3,195.0,1,0
0,0,65524,0,0,0,2,1,0,360.0,0,1
0,0,48115,1,9,4,0,2,4,165.0,1,1
0,2,23819,1,5,2,3,0,4,195.0,1,1
1,3,83350,0,3,1,3,1,0,120.0,0,0
1,2,86228,1,4,1,7,0,1,90.0,0,1
1,1,82308,1,4,0,10,0,2,135.0,1,1
1,0,63217,1,5,4,10,2,4,120.0,1,1
1,1,48280,1,5,1,6,1,1,420.0,0,0
0,1,13818,0,11,4,1,0,3,165.0,0,1
1,3,48173,0,6,1,7,1,0,150.0,1,1
1,1,86269,0,6,1,0,0,1,325.0,1,0
0,2,61310,0,11,0,4,2,3,585.0,0,0
0,3,68783,0,11,1,2,1,4,360.0,1,1
1,0,75370,1,10,3,5,0,3,105.0,0,1
1,1,35447,1,0,1,10,2,2,390.0,1,1
0,2,48510,1,11,2,1,0,1,390.0,0,1
1,0,16318,1,6,1,4,2,3,180.0,1,1
0,3,31852,0,2,3,3,0,1,585.0,1,1
0,2,14048,0,0,2,2,2,2,120.0,0,0
1,0,30254,0,1,4,8,2,4,240.0,0,1
0,0,62945,1,7,1,7,2,3,70.0,0,2
0,1,93450,1,5,4,4,1,0,390.0,1,0
0,0,59612,1,6,1,1,2,0,60.0,0,0
1,1,59936,0,12,3,1,1,2,100.0,1,1
0,0,64467,1,3,1,8,2,0,150.0,0,0
0,3,98112,0,1,3,4,0,1,80.0,0,1
0,2,13048,0,8,1,10,1,1,195.0,0,1
1,3,54378,1,5,0,5,1,3,420.0,0,1
0,3,29289,1,1,2,5,1,0,165.0,1,1
0,0,93849,1,11,0,4,0,0,655.0,1,1
1,1,15608,0,7,1,4,0,4,150.0,0,1
0,0,81524,0,4,3,6,2,2,100.0,1,1
0,1,79303,1,2,2,1,1,1,420.0,1,1
0,1,99955,1,12,4,4,0,3,60.0,0,1
0,0,48332,1,1,4,3,1,1,220.0,1,1
1,0,16205,0,12,3,6,0,0,220.0,0,1
1,3,27358,1,6,0,1,2,0,345.0,1,0
1,0,82702,1,12,3,0,2,4,75.0,0,0
0,0,12741,1,5,0,0,1,1,60.0,0,1
1,1,96697,0,7,1,1,1,2,585.0,1,1
0,0,84902,1,4,2,2,2,3,270.0,0,0
0,1,91443,1,2,0,5,1,2,420.0,0,0
0,1,60607,1,2,0,1,0,0,120.0,0,0
1,0,80079,1,4,4,9,1,0,60.0,1,1
0,2,25023,0,2,3,8,2,2,60.0,1,1
1,0,87902,1,11,1,2,0,3,90.0,0,1
0,1,11485,0,5,0,8,1,1,165.0,0,1
0,3,27494,1,7,2,2,2,4,420.0,0,0
0,1,97908,0,1,4,2,1,1,135.0,1,0
1,3,43350,1,9,2,8,2,4,240.0,0,0
0,3,63926,1,6,4,1,2,3,655.0,0,0
0,0,11321,1,4,1,6,1,2,195.0,0,1
1,0,67848,1,8,1,0,2,3,90.0,1,1
0,1,59935,1,1,4,4,0,1,130.0,1,1
1,0,30689,0,8,2,3,1,1,585.0,0,0
1,2,24492,1,10,2,4,2,2,60.0,1,2
1,1,20372,1,0,0,5,2,4,120.0,1,1
1,2,75877,1,5,0,8,0,1,420.0,0,0
1,2,22233,1,1,1,7,1,0,90.0,1,0
1,3,18121,1,9,3,6,2,2,220.0,0,1
1,0,58826,0,12,0,2,2,3,135.0,0,1
